capital_prestado,plazo_meses,edad_cliente,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,anio_prestamo,mes_prestamo,dia_semana_prestamo,ratio_deuda_ingreso,ratio_cuota_ingreso,tipo_laboral_Empleado,tipo_laboral_Independiente,tipo_credito_10,tipo_credito_4,tipo_credito_6,tipo_credito_68,tipo_credito_7,tipo_credito_9,tendencia_ingresos,Pago_atiempo
3692160.0,10.0,42.0,8000000.0,2500000.0,341296.0,88.768094,695.0,10.0,5.0,0.0,51258.0,51258.0,0.0,5.0,0.0,0.0,908526.0,2024.0,12.0,5.0,0.3125,0.042662,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
840000.0,6.0,60.0,3000000.0,2000000.0,124876.0,95.227787,789.0,3.0,1.0,0.0,8673.0,8673.0,0.0,0.0,0.0,2.0,939017.0,2025.0,4.0,1.0,0.6666666666666666,0.041625333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
5974028.0,10.0,36.0,4036000.0,829000.0,529554.0,47.613894,740.0,4.0,5.0,0.0,18702.0,18702.0,0.0,3.0,0.0,0.0,2005156.8118217797,2026.0,1.0,3.0,0.2054013875123885,0.13120763131813676,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
1671240.0,6.0,48.0,1524547.0,498000.0,252420.0,95.227787,837.0,4.0,4.0,0.0,15782.0,15782.0,0.0,3.0,0.0,0.0,1536193.0,2025.0,8.0,0.0,0.326654409473765,0.16557049405495533,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
2781636.0,11.0,44.0,5000000.0,4000000.0,217037.0,95.227787,771.0,4.0,6.0,0.0,204804.0,204804.0,0.0,3.0,0.0,1.0,933473.0,2025.0,4.0,5.0,0.8,0.0434074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
1031928.0,12.0,32.0,2800000.0,800000.0,82872.0,95.227787,721.0,10.0,13.0,0.0,24399.0,24399.0,0.0,2.0,0.0,8.0,2808474.0,2025.0,6.0,1.0,0.2857142857142857,0.029597142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
3064280.0,6.0,68.0,1000000.0,22005000.0,461231.0,95.227787,814.0,11.0,8.0,0.0,211775.0,211775.0,0.0,6.0,3.0,0.0,969508.0,2025.0,8.0,5.0,22.005,0.461231,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
3619560.0,6.0,31.0,3782303.0,305000.0,542079.0,95.227787,760.0,1.0,5.0,0.0,12078.0,12078.0,0.0,0.0,1.0,0.0,3782303.0,2025.0,8.0,0.0,0.08063870081270591,0.14331982392737969,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
2134828.0,10.0,31.0,14500000.0,8000000.0,181732.0,95.227787,737.0,0.0,2.0,0.0,0.0,40346.16817918517,0.2600019659884007,0.0,0.0,0.0,14007850.0,2025.0,5.0,4.0,0.5517241379310345,0.012533241379310344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
8400000.0,6.0,45.0,14000000.0,5000000.0,1166667.0,95.227787,752.0,4.0,3.0,0.0,125383.0,125383.0,0.0,2.0,0.0,0.0,28889623.0,2024.0,12.0,1.0,0.35714285714285715,0.08333335714285714,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
1269000.0,3.0,61.0,5000000.0,2000000.0,336766.0,95.227787,708.0,11.0,15.0,0.0,178727.0,157581.0,0.0,5.0,2.0,3.0,2005156.8118217797,2025.0,3.0,4.0,0.4,0.0673532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
2236561.0,12.0,58.0,2800000.0,400000.0,175932.0,95.227787,754.0,10.0,2.0,0.0,56437.0,56437.0,0.0,5.0,0.0,3.0,3922859.0,2025.0,3.0,1.0,0.14285714285714285,0.06283285714285715,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
4284000.0,8.0,66.0,8000000.0,2400000.0,486710.0,95.227787,809.0,5.0,4.0,0.0,34874.0,34874.0,0.0,3.0,0.0,1.0,916148.0,2025.0,3.0,5.0,0.3,0.06083875,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
